|EntityA|EntityB|address|author|pages|publisher|title|venue|year|Match
0|0|1|1|2|2|1|2|2|2|False
1|0|2|1|2|2|1|2|2|2|False
2|0|3|1|2|0|2|2|2|2|False
3|0|4|1|2|1|1|2|2|2|False
4|0|5|1|2|0|1|2|2|2|False
5|0|6|2|2|0|2|2|2|2|False
6|0|7|2|2|1|2|2|2|2|False
7|0|8|2|2|1|2|2|2|2|False
8|0|9|1|2|0|1|2|2|2|False
9|1|2|1|0|0|1|0|0|0|False
10|1|3|1|0|2|1|0|2|2|True
11|1|4|1|0|1|1|0|2|0|True
12|1|5|1|2|2|1|0|2|2|False
13|1|6|1|2|2|1|0|2|2|False
14|1|7|1|2|1|1|0|2|2|False
15|1|8|1|2|1|1|0|2|2|False
16|1|9|1|2|0|1|0|2|2|False
17|2|3|1|0|2|1|0|2|2|True
18|2|4|1|2|1|1|0|2|0|True
19|2|5|1|2|2|1|0|2|2|False
20|2|6|1|2|2|1|0|2|2|False
21|2|7|1|2|1|1|0|2|2|False
22|2|8|1|2|1|1|0|2|2|False
23|2|9|1|2|0|1|0|2|2|False
24|3|4|1|2|1|1|0|2|2|True
25|3|5|1|2|0|1|0|2|0|False
26|3|6|1|2|2|2|0|2|0|False
27|3|7|1|2|1|2|0|2|0|False
28|3|8|1|2|1|2|0|2|0|False
29|3|9|1|2|0|1|0|2|0|False
30|4|5|1|2|1|1|0|2|2|False
31|4|6|1|2|1|1|0|2|2|False
32|4|7|1|2|1|1|0|2|2|False
33|4|8|1|2|1|1|0|2|2|False
34|4|9|1|2|1|1|0|2|2|False
35|5|6|1|0|0|1|0|0|0|True
36|5|7|1|0|1|1|0|2|0|True
37|5|8|1|0|1|1|0|0|0|True
38|5|9|1|2|0|1|0|0|0|True
39|6|7|2|0|1|0|0|2|0|True
40|6|8|2|0|1|0|0|0|0|True
41|6|9|1|2|0|1|0|2|0|True
42|7|8|0|2|1|0|0|2|0|True
43|7|9|1|2|1|1|0|2|0|True
44|8|9|1|2|1|1|0|2|0|True
